Serial no.,Case name,Year,Level,Opposition fail/success,Text and/or graphic,Distinctiveness Index,Distinctiveness,6 Conventions -->,Mark-similarity,Visual-similarity,Aural-similarity,Conceptual-similarity,G&S-similarity,Likelihood of confusion,,,,,,,,,,,,,,,
11,Monster v NBA,2018,Sgipos,OF,3,,,3_3_0_3_X_X,,,,,,,,,,,,,,,,,,,,,
12,Apple v Swatch,2018,Sgipos,OF,1,,,3_3_4_2_X_3,,,,,,,,,,,,,,,,,,,,,
13,Adidas v Lutong (faulty),2018,Sgipos,OF,2,,,,,,,,,,,,,,,,,,,,,,,,
14,Starwood v Staywell (conceptually more similar than dissimilar to a fair extent),2018,Sgipos,OS,3,,,6_6_6_7_10_7,,,,,,,,,,,,,,,,,,,,,
15,Monster v Tencent,2018,Sgipos,OF,3,,,3_3_3_3_0_X,,,,,,,,,,,,,,,,,,,,,
16,Fox Head v Fox Street,2018,Sgipos,OS,3,,,7_7_10_10_9_7,,,,,,,,,,,,,,,,,,,,,
17,Adidas v Lutong,2018,Sgipos,OF,2,,,,,,,,,,,,,,,,,,,,,,,,
18,Bridgestone v Deestone,2018,Sgipos,OF,2,,,3_3_3_1_X_X,,,,,,,,,,,,,,,,,,,,,
19,Beats v LG,2016,Sgipos,OF,1,,,3_3_3_3_X_X,,,,,,,,,,,,,,,,,,,,,
20,Monster v Mixi,2017,Sgipos,OF,3,,,3_3_3_3_2_1,,,,,,,,,,,,,,,,,,,,,
21,Polo/lauren v United Stated Polo,2015,Sgipos,OF,3,,,5_5_0_10_10_0,,,,,,,,,,,,,,,,,,,,,
22,Sports Connection v PT Eigerindo,2015,Sgipos,OS,1,,,6_7_8_7_5_6,,,,,,,,,,,,,,,,,,,,,
23,Polo/lauren v United Stated Polo,2016,Sghc,OF,3,,,5_2_0_10_X_0,,,,,,,,,,,,,,,,,,,,,
24,Polo/lauren v Royal County,2017,Sgipos,OF,3,,,3_2_3_3_10_0,,,,,,,,,,,,,,,,,,,,,
25,Bacardi v G3,2015,Sgipos,OF,3,,,5_5_5_5_6_0,,,,,,,,,,,,,,,,,,,,,
26,Christie v Chritrs,2016,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
27,Apple v Xiaomi,2017,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
28,Societe Des Produits v Liwayway,2014,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
29,Time v Li San Zhong,2014,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
30,Seiko v Choice Fortune,2014,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
31,Apptitude v MGG,2016,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
32,Intel v Intelsteer,2015,sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
33,Jamal Abdulnaser v Global Tobacco,2015,Sghc,OS,3,,,,,,,,,,,,,,,,,,,,,,,,
34,Fox Racing v Fox Street Wear,2014,Sgipos,OS,3,,,,,,,,,,,,,,,,,,,,,,,,
35,Clarins Fragrance v BenQ Materials,2018,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
36,Kiko v Dooyeon,2016,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
37,PT Industri v Qingdao,2016,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
38,Consolidated Artists v THEFACESHOP,2017,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
39,Monster v Chua-Hua Lo,2017,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
40,Stora Enso Oyj v PT Purinusa Ekapersada,2016,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
41,Starbucks v Morinaga,2017,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
42,Converse v Southern Rubber Works,2015,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
43*S,Ceramiche v Caesarstone,2015,Sgipos,OS,3,,,,,,,,,,,,,,,,,,,,,,,,
44,Ferrero v Dochirnie,2015,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
45,Abercrombie & Fitch Europe v MMC International,2016,Sgipos,OS,3,,,,,,,,,,,,,,,,,,,,,,,,
46,Japan Tobacco v Philip Morris,2015,Sgipos,OS,3,,,,,,,,,,,,,,,,,,,,,,,,
47,Redsun Singapore v Tsung-Tse Hsieh,2015,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
48,Pets Global v B2K Pet,2016,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
49,Carolina v Lacoste,2014,Sgipos,OF,1,,,,,,,,,,,,,,,,,,,,,,,,
50,Formula One v Idea Marketing,2015,Sghc,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
51,Guccio Gucci v Guccitech,2018,Sgipos,OS,1,,,,,,,,,,,,,,,,,,,,,,,,
52,Eley v Kwek Soo Chuan,2017,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
53,"Pirelli v Tao, Hsiu-Chih",2014,Sgipos,OF,3,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
